model,evaluation,target_scale,split_name,n_repeats,n_support_mean,n_query_mean,n_finite_mean,valid_prediction_rate,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,Pearson_mean,Pearson_std,Spearman_mean,Spearman_std,Top20_precision_mean,Top20_precision_std
fomaml,A_zero_shot_all_inhouse,inhouse_percentile,all_rows,1,0.0,104.0,104.0,1.0,-2419.5187390556434,,14.201804297876704,,14.190318355041269,,-0.45797739044009017,,-0.4855560720874232,,0.0,
metasgd,A_zero_shot_all_inhouse,inhouse_percentile,all_rows,1,0.0,104.0,104.0,1.0,-2504.2329657636947,,14.448187135470878,,14.444148787933115,,0.3869750841688123,,0.2833274209093974,,0.14285714285714285,
maml,A_zero_shot_all_inhouse,inhouse_percentile,all_rows,1,0.0,104.0,104.0,1.0,-3094.926370042458,,16.061444850487,,16.048456237714092,,-0.27864582133441956,,-0.27818989378863374,,0.0,
supervised_ann,A_zero_shot_all_inhouse,inhouse_percentile,all_rows,1,0.0,104.0,104.0,1.0,-73719.57563158902,,78.37610159062724,,78.37448831689723,,0.5739267637538198,,0.5272417864610699,,0.3333333333333333,
supervised_ann,B_fewshot_adapt_support_to_query,inhouse_percentile,random_repeated,20,83.0,21.0,21.0,1.0,-2.1545914717393524,6.453936198019697,0.40478189722286,0.28400180538794945,0.3567876827991789,0.2879898806322428,0.6161678535922916,0.18959702383028731,0.589749104457413,0.19807324559260708,0.35,0.2039091645032686
maml,B_fewshot_adapt_support_to_query,inhouse_percentile,random_repeated,20,83.0,21.0,21.0,1.0,-1.3520453032915405e+23,3.890112966217188e+23,50800147953.29756,98274564984.03435,50800147953.27824,98274564984.04465,-0.026887707071764036,0.197494768040716,-0.03692744729379981,0.1954016841836789,0.2,0.2339590607462407
fomaml,B_fewshot_adapt_support_to_query,inhouse_percentile,random_repeated,20,83.0,21.0,21.0,1.0,-7.725494401621643e+39,2.603639341768313e+40,1.055718267938376e+19,2.2654318059592737e+19,1.053978866060429e+19,2.262194314125089e+19,0.3335384524829424,0.35154775753165685,0.30574181422977603,0.36392270826554146,0.25,0.23283154063783856
metasgd,B_fewshot_adapt_support_to_query,inhouse_percentile,random_repeated,20,83.0,21.0,21.0,1.0,-2.8364652779854617e+54,9.495360310559597e+54,2.470283742096013e+26,3.878030145442241e+26,2.465717700363663e+26,3.8716604759555286e+26,0.5399343679712298,0.11200606690854685,0.5002142046813836,0.12052335462820321,0.33999999999999997,0.23485717944495993
supervised_ann,B_fewshot_adapt_support_to_query,raw_inhouse_target,random_repeated,20,83.0,21.0,21.0,1.0,-0.20172816292706744,0.5490312020718403,0.23875062547707088,0.04664524543227141,0.19957211734764702,0.044182943432514665,0.5436414293572074,0.1933747489229372,0.45999362539022537,0.24194277954597176,0.35,0.19330913339165218
fomaml,B_fewshot_adapt_support_to_query,raw_inhouse_target,random_repeated,20,83.0,21.0,21.0,1.0,-6.159525167629912e+39,2.2755526692416727e+40,6.193866964906542e+18,1.8450784015345705e+19,6.178012016816527e+18,1.8401127717997007e+19,0.3870161443541852,0.24318827786974276,0.3572442399245913,0.2528290449392869,0.27,0.26177531547010635
maml,B_fewshot_adapt_support_to_query,raw_inhouse_target,random_repeated,20,83.0,21.0,21.0,1.0,-1.0845982520482611e+46,4.534159978253708e+46,7.169461865718816e+21,2.3710196477771404e+22,7.152201136723903e+21,2.3652283131127424e+22,0.369385271132843,0.30266558348530503,0.3326329981722506,0.2974102781154558,0.19,0.1889026482776665
metasgd,B_fewshot_adapt_support_to_query,raw_inhouse_target,random_repeated,20,83.0,21.0,21.0,1.0,-1.0499914067829124e+55,3.3858807058182345e+55,3.4052570352638695e+26,6.636749965966634e+26,3.39755051236299e+26,6.621798419856576e+26,0.5961890332595642,0.07433165276429891,0.5685102959402661,0.10867881196942289,0.29,0.2100125309544522
