n_test,n_finite,R2,RMSE,MAE,Pearson,Spearman,Top20_precision,valid_prediction,model,evaluation,target_scale,repeat,split_name,n_support,n_query
104,104,-3094.926370042458,16.061444850487,16.048456237714092,-0.27864582133441956,-0.27818989378863374,0.0,True,maml,A_zero_shot_all_inhouse,inhouse_percentile,0,all_rows,0,104
104,104,-2419.5187390556434,14.201804297876704,14.190318355041269,-0.45797739044009017,-0.4855560720874232,0.0,True,fomaml,A_zero_shot_all_inhouse,inhouse_percentile,0,all_rows,0,104
104,104,-2504.2329657636947,14.448187135470878,14.444148787933115,0.3869750841688123,0.2833274209093974,0.14285714285714285,True,metasgd,A_zero_shot_all_inhouse,inhouse_percentile,0,all_rows,0,104
104,104,-73719.57563158902,78.37610159062724,78.37448831689723,0.5739267637538198,0.5272417864610699,0.3333333333333333,True,supervised_ann,A_zero_shot_all_inhouse,inhouse_percentile,0,all_rows,0,104
21,21,-4.431375132470074e+21,15186410496.475,15186410496.474998,,,0.4,True,maml,B_fewshot_adapt_support_to_query,raw_inhouse_target,0,random_repeated,83,21
21,21,-1.0347229422696174e+19,949872576.4830585,949872576.4830586,,,0.4,True,maml,B_fewshot_adapt_support_to_query,inhouse_percentile,0,random_repeated,83,21
21,21,-2.5135780789088535e+19,1143752527.7387443,1143752527.713096,0.15950342545013593,0.14770978917519928,0.2,True,fomaml,B_fewshot_adapt_support_to_query,raw_inhouse_target,0,random_repeated,83,21
21,21,-5.724029958200583e+38,7.064871372714892e+18,7.041820413750861e+18,0.4546781907199461,0.4,0.2,True,fomaml,B_fewshot_adapt_support_to_query,inhouse_percentile,0,random_repeated,83,21
21,21,-2.9080105327109525e+54,3.8903069081883105e+26,3.874204866887492e+26,0.5641667365491929,0.5506493506493506,0.2,True,metasgd,B_fewshot_adapt_support_to_query,raw_inhouse_target,0,random_repeated,83,21
21,21,-9.86384655629321e+25,2932759592960.483,2932759592960.483,,,0.4,True,metasgd,B_fewshot_adapt_support_to_query,inhouse_percentile,0,random_repeated,83,21
21,21,-0.6240956863842464,0.29073122835794685,0.2551274305899255,0.5142520689309066,0.348051948051948,0.2,True,supervised_ann,B_fewshot_adapt_support_to_query,raw_inhouse_target,0,random_repeated,83,21
21,21,0.1800615993783029,0.2673892378798169,0.23102710617794878,0.4429656112902499,0.4805194805194805,0.2,True,supervised_ann,B_fewshot_adapt_support_to_query,inhouse_percentile,0,random_repeated,83,21
